"NSFTV.ID","Exp","Rep","DayOfImaging","PSA"
"NSFTV_1","E1","1",1,18780
"NSFTV_1","E1","1",2,25434
"NSFTV_1","E1","1",3,29431
"NSFTV_1","E1","1",4,35704
"NSFTV_1","E1","1",5,50058
"NSFTV_1","E1","1",6,59267
"NSFTV_1","E1","1",7,68715
"NSFTV_1","E1","1",8,84600
"NSFTV_1","E1","1",9,104159
"NSFTV_1","E1","1",10,121837
"NSFTV_1","E1","1",11,130759
"NSFTV_1","E1","1",12,140062
"NSFTV_1","E1","1",13,169434
"NSFTV_1","E1","1",14,191580
"NSFTV_1","E1","1",15,210095
"NSFTV_1","E1","1",16,226622
"NSFTV_1","E1","1",17,248783
"NSFTV_1","E1","1",18,282012
"NSFTV_1","E1","1",19,320600
"NSFTV_1","E1","1",20,341318
"NSFTV_1","E1","2",1,NA
"NSFTV_1","E1","2",2,NA
"NSFTV_1","E1","2",3,NA
"NSFTV_1","E1","2",4,NA
"NSFTV_1","E1","2",5,NA
"NSFTV_1","E1","2",6,NA
"NSFTV_1","E1","2",7,NA
"NSFTV_1","E1","2",8,NA
"NSFTV_1","E1","2",9,NA
"NSFTV_1","E1","2",10,NA
"NSFTV_1","E1","2",11,NA
"NSFTV_1","E1","2",12,NA
"NSFTV_1","E1","2",13,NA
"NSFTV_1","E1","2",14,NA
"NSFTV_1","E1","2",15,NA
"NSFTV_1","E1","2",16,NA
"NSFTV_1","E1","2",17,NA
"NSFTV_1","E1","2",18,NA
"NSFTV_1","E1","2",19,NA
"NSFTV_1","E1","2",20,NA
"NSFTV_1","E2","1",1,12630
"NSFTV_1","E2","1",2,17100
"NSFTV_1","E2","1",3,17735
"NSFTV_1","E2","1",4,23514
"NSFTV_1","E2","1",5,30841
"NSFTV_1","E2","1",6,37134
"NSFTV_1","E2","1",7,42896
"NSFTV_1","E2","1",8,46303
"NSFTV_1","E2","1",9,54172
"NSFTV_1","E2","1",10,66487
"NSFTV_1","E2","1",11,61164
"NSFTV_1","E2","1",12,67464
"NSFTV_1","E2","1",13,78598
"NSFTV_1","E2","1",14,91486
"NSFTV_1","E2","1",15,103030
"NSFTV_1","E2","1",16,118675
"NSFTV_1","E2","1",17,155068
"NSFTV_1","E2","1",18,171412
"NSFTV_1","E2","1",19,195603
"NSFTV_1","E2","1",20,228066
"NSFTV_1","E2","2",1,NA
"NSFTV_1","E2","2",2,NA
"NSFTV_1","E2","2",3,NA
"NSFTV_1","E2","2",4,NA
"NSFTV_1","E2","2",5,NA
"NSFTV_1","E2","2",6,NA
"NSFTV_1","E2","2",7,NA
"NSFTV_1","E2","2",8,NA
"NSFTV_1","E2","2",9,NA
"NSFTV_1","E2","2",10,NA
"NSFTV_1","E2","2",11,NA
"NSFTV_1","E2","2",12,NA
"NSFTV_1","E2","2",13,NA
"NSFTV_1","E2","2",14,NA
"NSFTV_1","E2","2",15,NA
"NSFTV_1","E2","2",16,NA
"NSFTV_1","E2","2",17,NA
"NSFTV_1","E2","2",18,NA
"NSFTV_1","E2","2",19,NA
"NSFTV_1","E2","2",20,NA
"NSFTV_1","E3","1",1,17082
"NSFTV_1","E3","1",2,19532
"NSFTV_1","E3","1",3,23461
"NSFTV_1","E3","1",4,30296
"NSFTV_1","E3","1",5,38719
"NSFTV_1","E3","1",6,41861
"NSFTV_1","E3","1",7,51258
"NSFTV_1","E3","1",8,50342
"NSFTV_1","E3","1",9,58290
"NSFTV_1","E3","1",10,77279
"NSFTV_1","E3","1",11,98781
"NSFTV_1","E3","1",12,121534
"NSFTV_1","E3","1",13,146578
"NSFTV_1","E3","1",14,179758
"NSFTV_1","E3","1",15,214483
"NSFTV_1","E3","1",16,237880
"NSFTV_1","E3","1",17,255183
"NSFTV_1","E3","1",18,287868
"NSFTV_1","E3","1",19,339443
"NSFTV_1","E3","1",20,385868
"NSFTV_1","E3","2",1,NA
"NSFTV_1","E3","2",2,NA
"NSFTV_1","E3","2",3,NA
"NSFTV_1","E3","2",4,NA
"NSFTV_1","E3","2",5,NA
"NSFTV_1","E3","2",6,NA
"NSFTV_1","E3","2",7,NA
"NSFTV_1","E3","2",8,NA
"NSFTV_1","E3","2",9,NA
"NSFTV_1","E3","2",10,NA
"NSFTV_1","E3","2",11,NA
"NSFTV_1","E3","2",12,NA
"NSFTV_1","E3","2",13,NA
"NSFTV_1","E3","2",14,NA
"NSFTV_1","E3","2",15,NA
"NSFTV_1","E3","2",16,NA
"NSFTV_1","E3","2",17,NA
"NSFTV_1","E3","2",18,NA
"NSFTV_1","E3","2",19,NA
"NSFTV_1","E3","2",20,NA
"NSFTV_10","E1","1",1,11300
"NSFTV_10","E1","1",2,14315
"NSFTV_10","E1","1",3,20166
"NSFTV_10","E1","1",4,23061
"NSFTV_10","E1","1",5,29552
"NSFTV_10","E1","1",6,38808
"NSFTV_10","E1","1",7,45678
"NSFTV_10","E1","1",8,59699
"NSFTV_10","E1","1",9,75294
"NSFTV_10","E1","1",10,94297
"NSFTV_10","E1","1",11,105727
"NSFTV_10","E1","1",12,110089
"NSFTV_10","E1","1",13,130144
"NSFTV_10","E1","1",14,148258
"NSFTV_10","E1","1",15,175932
"NSFTV_10","E1","1",16,205451
"NSFTV_10","E1","1",17,227291
"NSFTV_10","E1","1",18,279314
"NSFTV_10","E1","1",19,302634
"NSFTV_10","E1","1",20,340673
"NSFTV_10","E1","2",1,NA
"NSFTV_10","E1","2",2,NA
"NSFTV_10","E1","2",3,NA
"NSFTV_10","E1","2",4,NA
"NSFTV_10","E1","2",5,NA
"NSFTV_10","E1","2",6,NA
"NSFTV_10","E1","2",7,NA
"NSFTV_10","E1","2",8,NA
"NSFTV_10","E1","2",9,NA
"NSFTV_10","E1","2",10,NA
"NSFTV_10","E1","2",11,NA
"NSFTV_10","E1","2",12,NA
"NSFTV_10","E1","2",13,NA
"NSFTV_10","E1","2",14,NA
"NSFTV_10","E1","2",15,NA
"NSFTV_10","E1","2",16,NA
"NSFTV_10","E1","2",17,NA
"NSFTV_10","E1","2",18,NA
"NSFTV_10","E1","2",19,NA
"NSFTV_10","E1","2",20,NA
"NSFTV_10","E2","1",1,9069
"NSFTV_10","E2","1",2,9094
"NSFTV_10","E2","1",3,10517
"NSFTV_10","E2","1",4,12970
"NSFTV_10","E2","1",5,16632
"NSFTV_10","E2","1",6,18312
"NSFTV_10","E2","1",7,22779
