location,rep,block,plot,RIL,pollen,silking,ASI,height
ARC,1,4,28,RIL-1,73,77,4,182
ARC,2,6,47,RIL-1,74,79,5,169.2
CLY,1,5,36,RIL-1,71,74,3,213
CLY,2,4,223,RIL-1,73,77,4,203
PPAC,1,8,64,RIL-1,97,101,4,155.6
PPAC,2,5,40,RIL-1,95,100,5,177.6
TPAC,1,1,7,RIL-1,72,78,6,177.2
TPAC,2,4,27,RIL-1,72,78,6,179.2
ARC,1,1,6,RIL-11,69,71,2,181.6
ARC,2,2,9,RIL-11,69,72,3,178
CLY,1,1,3,RIL-11,70,71,1,218
CLY,2,2,204,RIL-11,68,69,1,191
PPAC,1,8,60,RIL-11,91,93,2,156
PPAC,2,6,45,RIL-11,90,92,2,165.2
TPAC,1,2,15,RIL-11,69,73,4,188.4
TPAC,2,5,38,RIL-11,69,72,3,184.8
ARC,1,7,52,RIL-12,73,74,1,192
ARC,2,8,60,RIL-12,74,74,0,186
CLY,1,1,2,RIL-12,70,71,1,215
CLY,2,8,254,RIL-12,74,76,2,177
PPAC,1,6,47,RIL-12,93,93,0,169.2
PPAC,2,5,39,RIL-12,92,93,1,169.2
TPAC,1,2,11,RIL-12,73,74,1,186
TPAC,2,7,49,RIL-12,74,75,1,187.2
ARC,1,3,18,RIL-14,73,74,1,205.2
ARC,2,2,16,RIL-14,74,77,3,199.2
CLY,1,7,55,RIL-14,69,71,2,202
CLY,2,4,217,RIL-14,70,72,2,210
PPAC,1,1,1,RIL-14,95,97,2,171.6
PPAC,2,5,35,RIL-14,94,95,1,181.2
TPAC,1,6,41,RIL-14,74,77,3,191.2
TPAC,2,6,43,RIL-14,74,78,4,193.6
ARC,1,2,12,RIL-15,74,76,2,199.6
ARC,2,7,56,RIL-15,74,77,3,200.4
CLY,1,1,7,RIL-15,74,76,2,221
CLY,2,3,212,RIL-15,74,77,3,224
PPAC,1,1,5,RIL-15,94,97,3,152.4
PPAC,2,7,49,RIL-15,95,97,2,168.4
TPAC,1,2,10,RIL-15,74,81,7,197.2
TPAC,2,4,31,RIL-15,74,77,3,203.2
ARC,1,3,23,RIL-16,75,77,2,178
ARC,2,7,50,RIL-16,75,77,2,172.8
CLY,1,2,14,RIL-16,73,73,0,190
CLY,2,2,203,RIL-16,74,75,1,179
PPAC,1,4,31,RIL-16,97,99,2,145.2
PPAC,2,8,59,RIL-16,97,97,0,160.4
TPAC,1,7,56,RIL-16,75,78,3,178.8
TPAC,2,8,58,RIL-16,74,75,1,178.4
